S11;S22;S33;S12;S13;S23;theta
-5.9133;27.0493;-21.136;0;0;0;3.8746
-6.4233;27.3066;-20.8833;0;0;0;3.8921
-6.9375;27.5659;-20.6284;0;0;0;3.9095
-7.4563;27.8274;-20.3711;0;0;0;3.927
-7.98;28.0913;-20.1112;0;0;0;3.9444
-8.509;28.3574;-19.8484;0;0;0;3.9619
-9.0436;28.6261;-19.5825;0;0;0;3.9794
-9.5841;28.8972;-19.3131;0;0;0;3.9968
-10.131;29.171;-19.04;0;0;0;4.0143
-10.6845;29.4473;-18.7628;0;0;0;4.0317
-11.2451;29.7262;-18.4811;0;0;0;4.0492
-11.813;30.0077;-18.1947;0;0;0;4.0666
-12.3887;30.2919;-17.9032;0;0;0;4.0841
-12.9726;30.5789;-17.6063;0;0;0;4.1015
-13.5651;30.869;-17.3039;0;0;0;4.119
-14.1668;31.1624;-16.9955;0;0;0;4.1364
-14.7782;31.4591;-16.6809;0;0;0;4.1539
-15.3996;31.7594;-16.3598;0;0;0;4.1713
-16.0316;32.0633;-16.0316;0;0;0;4.1888
-16.6748;32.371;-15.6961;0;0;0;4.2062
-17.3296;32.6825;-15.3528;0;0;0;4.2237
-17.9966;32.9979;-15.0013;0;0;0;4.2412
-18.6762;33.3172;-14.641;0;0;0;4.2586
-19.3691;33.6404;-14.2714;0;0;0;4.2761
-20.0756;33.9676;-13.892;0;0;0;4.2935
-20.7963;34.2985;-13.5021;0;0;0;4.311
-21.5314;34.6325;-13.1011;0;0;0;4.3284
-22.281;34.9689;-12.6879;0;0;0;4.3459
-23.0449;35.3069;-12.262;0;0;0;4.3633
-23.8233;35.6456;-11.8223;0;0;0;4.3808
-24.6155;35.9833;-11.3679;0;0;0;4.3982
-25.4194;36.3166;-10.8973;0;0;0;4.4157
-26.2328;36.6419;-10.4091;0;0;0;4.4331
-27.0534;36.9557;-9.9022;0;0;0;4.4506
-27.8786;37.2545;-9.3759;0;0;0;4.468
-28.7035;37.5322;-8.8287;0;0;0;4.4855
-29.5244;37.7846;-8.2601;0;0;0;4.5029
-30.3358;38.0055;-7.6696;0;0;0;4.5204
-31.1313;38.1882;-7.0569;0;0;0;4.5379
-31.9056;38.328;-6.4224;0;0;0;4.5553
-32.6574;38.4251;-5.7677;0;0;0;4.5728
-33.3799;38.4735;-5.0937;0;0;0;4.5902
-34.0734;38.4758;-4.4024;0;0;0;4.6077
-34.7343;38.4299;-3.6956;0;0;0;4.6251
-35.3621;38.3375;-2.9754;0;0;0;4.6426
-35.9546;38.1983;-2.2437;0;0;0;4.66
